type,entity_name,location_id,project_id,address_primary,city,state,zip_code,latitude,longitude,technology,upload_speed_anticipated,download_speed_anticipated,,
S,BOGALUSA HIGH SCHOOL,2000002960,CM61-BEAD-LA-331-2003,100 M.J. ISRAEL DR,BOGALUSA,LA,70427,30.77946,-89.86597,50,1000,1000,,1
S,FRANKLINTON HIGH SCHOOL,2000002971,CM61-BEAD-LA-331-2003,1 DEMON CIRCLE,FRANKLINTON,LA,70438,30.85959,-90.1257,50,1000,1000,,1
S,FRANKLINTON PRIMARY SCHOOL,2000003000,CM61-BEAD-LA-331-2003,610 T.W BARKER DR,FRANKLINTON,LA,70438,30.8543,-90.14495,50,1000,1000,,1
F,BOGALUSA FIRE DEPARTMENT STATION 2,2000003219,CM61-BEAD-LA-331-2003,E 5TH ST,BOGALUSA,LA,70427,30.77419,-89.85207,50,1000,1000,,1
S,FRANKLINTON ELEMENTARY SCHOOL,2000003256,CM61-BEAD-LA-331-2003,345 JAGUAR DR,FRANKLINTON,LA,70438,30.84104,-90.16853,50,1000,1000,,1
F,FRANKLINTON VOLUNTEER FIRE DEPARTMENT,2000003499,CM61-BEAD-LA-331-2003,803 PEARL ST,FRANKLINTON,LA,70438,30.84335,-90.15586,50,1000,1000,,1
F,BOGALUSA POLICE DEPARTMENT,2000003914,CM61-BEAD-LA-331-2003,214 ARKANSAS AVE,BOGALUSA,LA,70427,30.78642,-89.86057,50,1000,1000,,1
F,WASHINGTON PARISH FIRE DISTRICT 1 STATION 2,2000003930,CM61-BEAD-LA-331-2003,19151 PETIT RD,FRANKLINTON,LA,70438,30.79994,-90.17696,50,1000,1000,,1
F,JEFFERSON PARISH EASTBANK CONSOLIDATED FIRE DEPARTMENT STATION 18,1388396218,CM61-BEAD-LA-331-2003,3430 N CAUSEWAY BOULEVARD,METAIRIE,LA,70002,30.01216697692871,-90.15542603,50,1000,1000,,1
S,ARCHBISHOP CHAPELLE HIGH SCHOOL,1388398129,CM61-BEAD-LA-331-2003,8800 VETERANS MEMORIAL BLVD,METAIRIE,LA,70003,30.003320693969727,-90.22239685,50,1000,1000,,1
S,KEHOE-FRANCE SCHOOL,1388398155,CM61-BEAD-LA-331-2003,720 ELISE AVE,METAIRIE,LA,70003,29.982486724853516,-90.19973755,50,1000,1000,,1
S,CHRIST THE KING ELEMENTARY SCHOOL,1388398912,CM61-BEAD-LA-331-2003,2106 DEERFIELD RD,TERRYTOWN,LA,70056,29.905298233032227,-90.02597046,50,1000,1000,,1
S,LINCOLN ELEMENTARY SCHOOL FOR THE ARTS,1388410849,CM61-BEAD-LA-331-2003,1429 AMES BLVD.,MARRERO,LA,70072,29.888647079467773,-90.11162567,50,1000,1000,,1
F,SIBLEY POLICE DEPARTMENT,2000002423,CM61-BEAD-LA-331-2003,"345 N MAIN ST, TOWN HALL",SIBLEY,LA,71073,32.54278,-93.2953,50,1000,1000,,1
F,BEAUREGARD VOLUNTEER FIRE PROTECTION DISTRICT 3 - LONGACRE STATION,2000002437,CM61-BEAD-LA-331-2003,750 LONGACRE RD,DERIDDER,LA,70634,30.84332,-93.1488,50,1000,1000,,1
L,BRANCH HEFLIN LIBRARY,2000002440,CM61-BEAD-LA-331-2003,7041 HIGHWAY 531,HEFLIN,LA,71039,32.45485,-93.26536,50,1000,1000,,1
H,LOUISIANA URGENT CARE - BRUSLY,2000002657,CM61-BEAD-LA-331-2003,4451 STATE HIGHWAY 1 S,PORT ALLEN,LA,70767,30.4058,-91.23058,50,1000,1000,,1
S,BRUSLY UPPER ELEMENTARY SCHOOL,2000002693,CM61-BEAD-LA-331-2003,601 N KIRKLAND,BRUSLY,LA,70719,30.39046,-91.23306,50,1000,1000,,1
F,ADVANCED EMERGENCY MEDICAL SERVICES INCORPORATED STATION 2,2000002748,CM61-BEAD-LA-331-2003,365 N MAIN,SIBLEY,LA,71073,32.54293,-93.29555,50,1000,1000,,1
L,WEBSTER PARISH LIBRARY,2000002751,CM61-BEAD-LA-331-2003,127 SE 4TH AVE,SIBLEY,LA,71073,32.53418,-93.29536,50,1000,1000,,1
F,DERIDDER FIRE DEPARTMENT - EAST SIDE STATION,2000002804,CM61-BEAD-LA-331-2003,202 MARTIN LUTHER KING DR,DERIDDER,LA,70634,30.84406,-93.27262,50,1000,1000,,1
F,WEBSTER PARISH FIRE PROTECTION DISTRICT 4,2000002883,CM61-BEAD-LA-331-2003,838 STATE HIGHWAY 532,DUBBERLY,LA,71024,32.53993,-93.22169,50,1000,1000,,1
L,WEST BATON ROUGE PARISH LIBRARY,2000002947,CM61-BEAD-LA-331-2003,830 N ALEXANDER AVE,PORT ALLEN,LA,70767,30.45997,-91.21065,50,1000,1000,,1
S,PORT ALLEN HIGH SCHOOL,2000003054,CM61-BEAD-LA-331-2003,3553 ROSEDALE RD,PORT ALLEN,LA,70767,30.46085,-91.25793,50,1000,1000,,1
F,SIBLEY VOLUNTEER FIRE DEPARTMENT,2000003177,CM61-BEAD-LA-331-2003,117 SE 4TH AVE,SIBLEY,LA,71073,32.53465,-93.29536,50,1000,1000,,1
S,FIRST BAPTIST CHRISTIAN ACADEMY,2000003215,CM61-BEAD-LA-331-2003,2030 HIGHWAY 171,DERIDDER,LA,70634,30.84553,-93.25463,50,1000,1000,,1
F,ADDIS POLICE DEPARTMENT,2000003299,CM61-BEAD-LA-331-2003,7818 STATE HIGHWAY 1 S,ADDIS,LA,70710,30.35561,-91.25994,50,1000,1000,,1
F,HEFLIN VOLUNTEER FIRE DEPARTMENT,2000003301,CM61-BEAD-LA-331-2003,190 MEMORIAL PARK DR,HEFLIN,LA,71039,32.45747,-93.26803,50,1000,1000,,1
F,WEST BATON ROUGE FIRE SUB - DISTRICT 3 / PORT ALLEN FIRE DEPARTMENT STATION 1,2000003596,CM61-BEAD-LA-331-2003,750 N JEFFERSON AVE,PORT ALLEN,LA,70767,30.45873,-91.20548,50,1000,1000,,1
S,PORT ALLEN HIGH SCHOOL,2000003956,CM61-BEAD-LA-331-2003,3555 ROSEDALE RD,PORT ALLEN,LA,70767,30.46063968,-91.25176722,50,1000,1000,,1
F,BENTON FIRE DISTRICT 4 STATION 4,2000003647,CM61-BEAD-LA-332-2004,14634 STATE HIGHWAY 157,BENTON,LA,71006,32.70874,-93.57719,50,1000,1000,,1
F,QUITMAN VOLUNTEER FIRE DEPARTMENT STATION 2,2000002508,CM61-BEAD-LA-332-2004,131 STATE HIGHWAY 148,RUSTON,LA,71270,32.43184,-92.67616,50,1000,1000,,1
F,SAINT TAMMANY PARISH FIRE DISTRICT 6 STATION 3,2000003034,CM61-BEAD-LA-332-2004,22316 STATE HIGHWAY 40,BUSH,LA,70431,30.62636,-90.04362,50,1000,1000,,1
F,BIENVILLE PARISH FIRE PROTECTION DISTRICT WARDS 4 AND 5 STATION 7,1077411867,CM61-BEAD-LA-140-2005,309 STATE HIGHWAY 154,RINGGOLD,LA,71068,32.31780242919922,-93.40936279,50,50,200,,1
S,RINGGOLD ELEMENTARY SCHOOL,1077412292,CM61-BEAD-LA-140-2005,4044 BIENVILLE RD SUITE A,RINGGOLD,LA,71068,32.32291030883789,-93.26818848,50,50,200,,1
F,RINGGOLD POLICE DEPARTMENT,1077413129,CM61-BEAD-LA-140-2005,2135 HALL ST,RINGGOLD,LA,71068,32.329715728759766,-93.28679657,50,50,200,,1
F,PAFFORD EMERGENCY MEDICAL SERVICES,1077413022,CM61-BEAD-LA-140-2005,2741 MILL ST,RINGGOLD,LA,71068,32.328887939453125,-93.28109741,50,50,200,,1
F,BIENVILLE PARISH FIRE PROTECTION DISTRICT WARDS 4 AND 5 STATION 1,1077413096,CM61-BEAD-LA-140-2005,1721 MILITARY RD,RINGGOLD,LA,71068,32.323097229003906,-93.28123474,50,50,200,,1
L,CALCASIEU PARISH LIBRARY,1305857302,CM61-BEAD-LA-140-2005,113 HIGHWAY 109 S,STARKS,LA,70661,30.318710327148438,-93.66231537,50,50,200,,1
L,BRANCH BELCHER LIBRARY,2000002238,CM61-BEAD-LA-140-2005,409 CHARLES ST,BELCHER,LA,71004,32.74929,-93.83522,50,50,200,,1
S,HERNDON MAGNET SCHOOL,1355548751,CM61-BEAD-LA-140-2005,11845 GAMM RD,BELCHER,LA,71004,32.79935836791992,-93.87068176,50,50,200,,1
S,STARKS HIGH SCHOOL,2000002915,CM61-BEAD-LA-140-2005,137 HIGHWAY 10P S,STARKS,LA,70661,30.31548,-93.66183,50,50,200,,1
F,STARKS WARD 5 VOLUNTEER FIRE DEPARTMENT,2000003926,CM61-BEAD-LA-140-2005,4747 EVANGELINE HIGHWAY,STARKS,LA,70661,30.31465,-93.66463,50,50,200,,1
L,PARISH OF BIENVILLE,2000003322,CM61-BEAD-LA-140-2005,2078 HALL ST,RINGGOLD,LA,71068,32.32917,-93.28774,50,50,200,,1
S,PHOENIX HIGH SCHOOL,2000003413,CM61-BEAD-LA-DN-Multiple,12700 HIGHWAY 23,BRAITHWAITE,LA,70040,29.60108,-89.86232,61,20,100,,1
F,FOUR CORNERS VOLUNTEER FIRE DEPARTMENT STATION 4,2000002273,CM61-BEAD-LA-DN-Multiple,330 ALICE B RD,FRANKLIN,LA,70538,29.77647,-91.7561,61,20,100,,1
S,SOUTH PLAQUEMINES ELEMENTARY SCHOOL,1056514228,CM61-BEAD-LA-260-2008,218 SCHOOL RD,PORT SULPHUR,LA,70083,29.477561950683594,-89.69484711,50,1000,1000,,1
L,PLAQUEMINES PARISH LIBRARY,1056525918,CM61-BEAD-LA-260-2008,138 CIVIC DR,PORT SULPHUR,LA,70083,29.47985268,-89.69496155,50,1000,1000,,1
F,PLAQUEMINES PARISH AMBULANCE DEPARTMENT UNIT 1894,1056525997,CM61-BEAD-LA-260-2008,28028 STATE HIGHWAY 23,PORT SULPHUR,LA,70083,29.47764015197754,-89.69260406,50,1000,1000,,1
H,PLAQUEMINES MEDICAL CENTER,1056526361,CM61-BEAD-LA-260-2008,26851 STATE HIGHWAY 23,PORT SULPHUR,LA,70083,29.49470329284668,-89.71226501,50,1000,1000,,1
F,SAINT MARY PARISH VOLUNTEER FIRE DEPARTMENT SORREL COMMUNITY SUB STATION 2,1109303025,CM61-BEAD-LA-260-2008,137 SORREL BRIDGE APPROACH RD,JEANERETTE,LA,70544,29.891407012939453,-91.61515808,50,1000,1000,,1
S,LEBLANC ELEMENTARY SCHOOL,1287647873,CM61-BEAD-LA-260-2008,4511 E LA HIGHWAY 338,ABBEVILLE,LA,70510,30.014625549316406,-92.05469513,50,1000,1000,,1
F,CYPREMORT POINT VOLUNTEER FIRE DEPARTMENT,1109294032,CM61-BEAD-LA-260-2008,3104 STATE HIGHWAY 319,FRANKLIN,LA,70538,29.722898483276367,-91.8562851,50,1000,1000,,1
F,BURAS VOLUNTEER FIRE DEPARTMENT,2000002494,CM61-BEAD-LA-260-2008,35410 COUNTY HIGHWAY 11,BURAS,LA,70041,29.3572,-89.53066,50,1000,1000,,1
S,BOOTHVILLE-VENICE ELEMENTARY SCHOOL,2000002910,CM61-BEAD-LA-260-2008,#1 OILER DR,BOOTHVILLE,LA,70038,29.33587,-89.40655,50,1000,1000,,1
L,PLAQUEMINES PARISH LIBRARY,2000003240,CM61-BEAD-LA-260-2008,35572 HIGHWAY 11,BURAS,LA,70041,29.35624,-89.53001,50,1000,1000,,1
F,PLAQUEMINES PARISH AMBULANCE DEPARTMENT - BURAS STATION,2000003408,CM61-BEAD-LA-260-2008,35410 PARISH RD 11,BURAS,LA,70041,29.35182,-89.52467,50,1000,1000,,1
S,SOUTH PLAQUEMINES HIGH SCHOOL,2000003520,CM61-BEAD-LA-260-2008,34121 HIGHWAY 23,BURAS,LA,70041,29.35569,-89.53532,50,1000,1000,,1
F,PLAQUEMINES PARISH FIRE DISTRICT 3 PORT SULPHUR VOLUNTEER FIRE DEPARTMENT,2000003736,CM61-BEAD-LA-260-2008,11 CIVIC DR,PORT SULPHUR,LA,70083,29.47902,-89.69527,50,1000,1000,,1
S,NORTH VERMILION HIGH SCHOOL,2000002456,CM61-BEAD-LA-260-2008,11609 LA HIGHWAY 699,MAURICE,LA,70555,30.07906,-92.16428,50,1000,1000,,1
F,LEBLANC VOLUNTEER FIRE DEPARTMENT,2000002903,CM61-BEAD-LA-260-2008,3834 BARES RD,ABBEVILLE,LA,70510,30.03581,-92.02663,50,1000,1000,,1
F,MEAUX - NUNEZ VOLUNTEER FIRE DEPARTMENT,2000002916,CM61-BEAD-LA-260-2008,9124 ROMULES RD,ABBEVILLE,LA,70510,30.01859,-92.20811,50,1000,1000,,1
S,MEAUX ELEMENTARY SCHOOL,2000003304,CM61-BEAD-LA-260-2008,12419 LA HIGHWAY 696,ABBEVILLE,LA,70510,30.02091,-92.18376,50,1000,1000,,1
F,INDIAN BAYOU VOLUNTEER FIRE DEPARTMENT,2000003919,CM61-BEAD-LA-260-2008,4723 STATE HIGHWAY 700,KAPLAN,LA,70548,30.07391,-92.24216,50,1000,1000,,1
S,V. B. GLENCOE CHARTER SCHOOL,2000002557,CM61-BEAD-LA-260-2008,4491 HIGHWAY 83,FRANKLIN,LA,70538,29.81197,-91.66799,50,1000,1000,,1
F,SAINT MARY PARISH VOLUNTEER FIRE DEPARTMENT CENTRAL STATION / FOUR CORNERS COMMUNITY STATION 1,2000002900,CM61-BEAD-LA-260-2008,1205 BIG FOUR CORNERS RD,JEANERETTE,LA,70544,29.85076,-91.63902,50,1000,1000,,1
F,COTEAU HOLMES VOLUNTEER FIRE DEPARTMENT,2000002993,CM61-BEAD-LA-260-2008,1860 COTEAU HOLMES HIGHWAY,SAINT MARTINVILLE,LA,70582,30.1271,-91.72664,50,1000,1000,,1
F,SAINT MARY PARISH VOLUNTEER FIRE DEPARTMENT GLENCOE COMMUNITY SUBSTATION 3,2000003337,CM61-BEAD-LA-260-2008,4345 STATE HIGHWAY 83,FRANKLIN,LA,70538,29.81478,-91.66801,50,1000,1000,,1
S,BELLE CHASSE MIDDLE SCHOOL,2000003784,CM61-BEAD-LA-DN-Multiple,13476 HIGHWAY 23,BELLE CHASSE,LA,70037,29.73268,-90.00764,61,20,100,,1
S,"Northshore Technical Community College, Florida Parishes Campus",1066700258,CM61-BEAD-LA-200-2010,200 HUNCH LN,GREENSBURG,LA,70441,30.83335252,-90.6881891,71,20,100,,1
H,ST. HELENA PARISH HOSPITAL,1066705224,CM61-BEAD-LA-200-2010,16874 HIGHWAY 43,GREENSBURG,LA,70441,30.831192016601562,-90.66596985,71,20,100,,1
F,SAINT HELENA PARISH SHERIFFS DEPARTMENT / SAINT HELENA PARISH JAIL,2000002969,CM61-BEAD-LA-200-2010,387 SITMAN ST,GREENSBURG,LA,70441,30.82876,-90.66666,71,20,100,,1
F,GREENSBURG VOLUNTEER FIRE DEPARTMENT,2000002312,CM61-BEAD-LA-200-2010,13775 STATE HIGHWAY 37,GREENSBURG,LA,70441,30.81827,-90.67495,71,20,100,,1
S,ST. HELENA COLLEGE AND CAREER ACADEMY,2000002522,CM61-BEAD-LA-200-2010,14340 HIGHWAY 37,GREENSBURG,LA,70441,30.8285,-90.67185,71,20,100,,1
F,GREENSBURG POLICE DEPARTMENT,2000002717,CM61-BEAD-LA-200-2010,14516 STATE HIGHWAY 37,GREENSBURG,LA,70441,30.82984,-90.67088,71,20,100,,1
F,PINE GROVE VOLUNTEER FIRE DEPARTMENT,2000002861,CM61-BEAD-LA-200-2010,STATE HIGHWAY 16,PINE GROVE,LA,70453,30.69186,-90.8235,71,20,100,,1
H,SAINT HELENA PARISH HEALTH UNIT,2000003514,CM61-BEAD-LA-200-2010,53 N SECOND ST,GREENSBURG,LA,70441,30.83045,-90.66526,71,20,100,,1
F,HILLSDALE VOLUNTEER FIRE DEPARTMENT,2000003574,CM61-BEAD-LA-200-2010,3313 STATE HIGHWAY 1045,AMITE,LA,70422,30.74191,-90.61262,71,20,100,,1
S,ST. HELENA EARLY LEARNING CENTER,2000003684,CM61-BEAD-LA-200-2010,1590 LA 1042,GREENSBURG,LA,70441,30.8288,-90.69633,71,20,100,,1
F,NORTH HELENA VOLUNTEER FIRE DEPARTMENT,2000003702,CM61-BEAD-LA-200-2010,5138 HIGHWAY 1043,GREENSBURG,LA,70441,30.90918,-90.71717,71,20,100,,1
F,PINE GROVE VOLUNTEER FIRE DEPARTMENT,2000003894,CM61-BEAD-LA-200-2010,STATE HIGHWAYS 449 AND 16,PINE GROVE,LA,70453,30.70991,-90.75399,71,20,100,,1
L,ST HELENA BRANCH LIBRARY,2000003319,CM61-BEAD-LA-200-2010,S MAIN ST STE C,GREENSBURG,LA,70441,30.83036,-90.67681,71,20,100,,1
S,ST. HELENA ARTS AND TECHNOLOGY ACADEMY,2000003390,CM61-BEAD-LA-200-2010,1798 HIGHWAY 1042,GREENSBURG,LA,70441,30.82909,-90.69787,71,20,100,,1
F,SOUTH SECOND WARD FIRE DISTRICT,2000003179,CM61-BEAD-LA-200-2010,TURNER CHAPEL RD,GREENSBURG,LA,70441,30.83124,-90.69344,71,20,100,,1
S,NORTHWEST HIGH SCHOOL,1095503576,CM61-BEAD-LA-DN-Multiple,3746 HIGHWAY 104,OPELOUSAS,LA,70570,30.57826805114746,-92.18903351,61,20,100,,1
F,SAINT LANDRY PARISH FIRE DISTRICT 3 STATION 6,2000003739,CM61-BEAD-LA-DN-Multiple,4455 GRANDE PRAIRIE HIGHWAY,WASHINGTON,LA,70589,30.67016,-92.14945,61,20,100,,1
F,SAINT JOSEPH POLICE DEPARTMENT,2000002344,CM61-BEAD-LA-DN-Multiple,125 PLANK RD,SAINT JOSEPH,LA,71366,31.91772,-91.23259,61,20,100,,1
S,TENSAS HIGH SCHOOL,2000002834,CM61-BEAD-LA-DN-Multiple,720 PLANK RD,SAINT JOSEPH,LA,71366,31.92301,-91.23866,61,20,100,,1
S,TENSAS ELEMENTARY SCHOOL,2000002852,CM61-BEAD-LA-DN-Multiple,FRONTAGE RD,ST. JOSEPH,LA,71366,31.91837,-91.23349,61,20,100,,1
H,TENSAS COMMUNITY HEALTH UNIT,2000003312,CM61-BEAD-LA-DN-Multiple,1115 LEVEE ST,SAINT JOSEPH,LA,71366,31.9029,-91.24311,61,20,100,,1
F,NORTH EAST LOUISIANA AMBULANCE SERVICE 6,2000003379,CM61-BEAD-LA-DN-Multiple,4200 MCCONNELL RD,SAINT JOSEPH,LA,71366,31.95858,-91.26961,61,20,100,,1
F,TENSAS PARISH FIRE DISTRICT 1 STATION 2,2000003432,CM61-BEAD-LA-DN-Multiple,1104 PLANK RD,SAINT JOSEPH,LA,71366,31.92436,-91.2409,61,20,100,,1
F,TENSAS PARISH FIRE DISTRICT 1 STATION 6,2000003492,CM61-BEAD-LA-DN-Multiple,2913 STATE HIGHWAY 606,NEWELLTON,LA,71357,31.95279,-91.21444,61,20,100,,1
S,TENSAS ACADEMY,2000003598,CM61-BEAD-LA-DN-Multiple,418 HIGHWAY 128,SAINT JOSEPH,LA,71366,31.91996,-91.23566,61,20,100,,1
F,TENSAS PARISH FIRE DISTRICT 1 STATION 7,2000003911,CM61-BEAD-LA-DN-Multiple,1775 STATE HIGHWAY 892,SAINT JOSEPH,LA,71366,31.95308,-91.39162,61,20,100,,1
F,LINCOLN PARISH FIRE PROTECTION DISTRICT 1,1091109453,CM61-BEAD-LA-336-2014,4786 US HIGHWAY 167,DUBACH,LA,71235,32.60106658935547,-92.64865112,40,1000,1000,,1
S,DUBACH SCHOOL,1091107592,CM61-BEAD-LA-336-2014,7710 FELLOWSHIP RD,DUBACH,LA,71235,32.696407318115234,-92.65172577,40,1000,1000,,1
F,VILLAGE OF CHOUDRANT VOLUNTEER FIRE DEPARTMENT,1091104275,CM61-BEAD-LA-336-2014,2520 UNITED STATES HIGHWAY 80,CHOUDRANT,LA,71227,32.53024673461914,-92.51620483,40,1000,1000,,1
F,WEBSTER PARISH FIRE DISTRICT 8 STATION 1,1144379907,CM61-BEAD-LA-336-2014,20947 US HIGHWAY 371,COTTON VALLEY,LA,71018,32.80236053466797,-93.4169693,40,1000,1000,,1
S,NORTH WEBSTER HIGH SCHOOL,1144424720,CM61-BEAD-LA-336-2014,101 S ARKANSAS,SPRINGHILL,LA,71075,33.00285720825195,-93.46538544,40,1000,1000,,1
S,BROWNING ELEMENTARY SCHOOL,1144426048,CM61-BEAD-LA-336-2014,505 HERRINGTON DR,SPRINGHILL,LA,71075,33.01447677612305,-93.46923065,40,1000,1000,,1
F,SPRINGHILL POLICE DEPARTMENT,1144428462,CM61-BEAD-LA-336-2014,25 CLINIC ST,SPRINGHILL,LA,71075,33.00468063354492,-93.46103668,40,1000,1000,,1
S,CHOUDRANT ELEMENTARY SCHOOL,1091103931,CM61-BEAD-LA-336-2014,160 WALKER RD,CHOUDRANT,LA,71227,32.52707290649414,-92.49868774,40,1000,1000,,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 STATION 5 - SWARTZ,1310686806,CM61-BEAD-LA-336-2014,3413 STATE HIGHWAY 594,MONROE,LA,71203,32.57407760620117,-91.98538971,40,1000,1000,,1
F,BOSSIER PARISH SHERIFFS OFFICE - BENTON - SUBSTATION,1315889555,CM61-BEAD-LA-336-2014,7076 STATE HIGHWAY 3,BENTON,LA,71006,32.731407165527344,-93.73305511,40,1000,1000,,1
F,BOSSIER PARISH FIRE DISTRICT 1 STATION 5,1315891608,CM61-BEAD-LA-336-2014,3645 BELLEVUE RD,HAUGHTON,LA,71037,32.62262725830078,-93.56885529,40,1000,1000,,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 STATION 9 - FAIRBANKS,1310701547,CM61-BEAD-LA-336-2014,232 STATE HIGHWAY 134,MONROE,LA,71203,32.647972106933594,-92.05341339,40,1000,1000,,1
S,STERLINGTON MIDDLE SCHOOL,1310719742,CM61-BEAD-LA-336-2014,206 HIGH AVE,STERLINGTON,LA,71280,32.69612121582031,-92.07089233,40,1000,1000,,1
S,RICHWOOD HIGH SCHOOL,1310720162,CM61-BEAD-LA-336-2014,5901 HIGHWAY 165 S,MONROE,LA,71202,32.43207931518555,-92.08943176,40,1000,1000,,1
F,BOSSIER PARISH MEDICAL SERVICES,1315851043,CM61-BEAD-LA-336-2014,102 6TH ST,BENTON,LA,71006,32.6967659,-93.74065399,40,1000,1000,,1
F,BENTON FIRE DISTRICT 4 STATION 2,1315858184,CM61-BEAD-LA-336-2014,807 PARKS RD,BENTON,LA,71006,32.651878356933594,-93.6706543,40,1000,1000,,1
F,BOSSIER PARISH FIRE DISTRICT 1 STATION 3,1315868672,CM61-BEAD-LA-336-2014,9346 STATE HIGHWAY 157,HAUGHTON,LA,71037,32.56437683105469,-93.51452637,40,1000,1000,,1
L,BENTON BRANCH LIBRARY,1315884184,CM61-BEAD-LA-336-2014,202 SIBLEY ST,BENTON,LA,71006,32.696590423583984,-93.73997498,40,1000,1000,,1
L,BRANCH & SMITH LAND COMPANY LLC,1144424070,CM61-BEAD-LA-336-2014,209 WILLOW ST,SPRINGHILL,LA,71075,33.00926208496094,-93.46457672,40,1000,1000,,1
F,ADVANCED EMERGENCY MEDICAL SERVICES INCORPORATED STATION 3,1144424610,CM61-BEAD-LA-336-2014,114 W CHURCH ST,SPRINGHILL,LA,71075,33.003841400146484,-93.46317291,40,1000,1000,,1
H,WEBSTER COUNTY HEALTH DEPARTMENT,1144425215,CM61-BEAD-LA-336-2014,110 JUNE ANTHONY DR,SPRINGHILL,LA,71075,32.99901199,-93.46244812,40,1000,1000,,1
L,SPRINGHILL BRANCH LIBRARY INC,1144428468,CM61-BEAD-LA-336-2014,217 N MAIN ST,SPRINGHILL,LA,71075,33.00419616699219,-93.46102142,40,1000,1000,,1
F,CHOUDRANT POLICE DEPARTMENT,2000002499,CM61-BEAD-LA-336-2014,2629 UNITED STATES HIGHWAY 80,CHOUDRANT,LA,71227,32.52998,-92.52219,40,1000,1000,,1
L,PARISH OF BOSSIER,2000003195,CM61-BEAD-LA-336-2014,115 CLUB HOUSE DR,BENTON,LA,71006,32.6576,-93.71837,40,1000,1000,,1
F,PLAIN DEALING POLICE DEPARTMENT,2000003543,CM61-BEAD-LA-336-2014,209 W MARY LEE AVE,PLAIN DEALING,LA,71064,32.90652,-93.70629,40,1000,1000,,1
F,DIXIE INN POLICE DEPARTMENT,1144395858,CM61-BEAD-LA-336-2014,60 SHELL ST,MINDEN,LA,71055,32.59349060058594,-93.33437347,40,1000,1000,,1
F,BENTON FIRE DISTRICT 4 STATION 1,1387969363,CM61-BEAD-LA-336-2014,306 5TH ST,BENTON,LA,71006,32.698158264160156,-93.73793793,40,1000,1000,,1
F,BENTON FIRE DISTRICT 4 STATION 5,2000003097,CM61-BEAD-LA-336-2014,651 STATE HIGHWAY 160,BENTON,LA,71006,32.79007,-93.71778,40,1000,1000,,1
S,PLAIN DEALING HIGH SCHOOL,2000002927,CM61-BEAD-LA-336-2014,300 E VANCE ST,PLAIN DEALING,LA,71064,32.9105,-93.69868,40,1000,1000,,1
F,BENTON POLICE DEPARTMENT,2000002614,CM61-BEAD-LA-336-2014,201 SIBLEY ST,BENTON,LA,71006,32.69674,-93.74042,40,1000,1000,,1
L,PARISH OF BOSSIER,2000002617,CM61-BEAD-LA-336-2014,208 E MARY LEE ST,PLAIN DEALING,LA,71064,32.9068,-93.70008,40,1000,1000,,1
F,BOSSIER PARISH EMERGENCY MEDICAL SERVICES - MEDIC ONE,2000002720,CM61-BEAD-LA-336-2014,108 S LOUISIANA ST,PLAIN DEALING,LA,71064,32.9048,-93.7056,40,1000,1000,,1
S,PLATT ELEMENTARY SCHOOL,2000003756,CM61-BEAD-LA-336-2014,4680 E HIGHWAY 80,HAUGHTON,LA,71037,32.55507,-93.56814,40,1000,1000,,1
S,PRINCETON ELEMENTARY SCHOOL,2000003891,CM61-BEAD-LA-336-2014,1895 WINFIELD RD,PRINCETON,LA,71067,32.58723,-93.53326,40,1000,1000,,1
H,STERLINGTON REHABILITATION HOSPITAL,2000003170,CM61-BEAD-LA-336-2014,370 W HICKORY ST,STERLINGTON,LA,71280,32.69565,-92.08419,40,1000,1000,,1
S,EAST OUACHITA MIDDLE SCHOOL,2000003774,CM61-BEAD-LA-336-2014,859 SWARTZ FAIRBANKS,MONROE,LA,71203,32.58703,-91.99264,40,1000,1000,,1
F,OUACHITA PARISH FIRE PROTECTION DISTRICT 1 STATION 7 KINCADE,1310696123,CM61-BEAD-LA-336-2014,3167 PRAIRIE RD,MONROE,LA,71202,32.37255859,-92.0581665,40,1000,1000,,1
F,BOSSIER PARISH EMERGENCY MEDICAL SERVICES - MEDIC THREE,1315870736,CM61-BEAD-LA-336-2014,4494 UNITED STATES HIGHWAY 80 E,HAUGHTON,LA,71037,32.55541229248047,-93.57452393,40,1000,1000,,1
F,BOSSIER PARISH FIRE DISTRICT 1 STATION 4,1315910948,CM61-BEAD-LA-336-2014,13333 STATE HIGHWAY 157,HAUGHTON,LA,71037,32.671356201171875,-93.52456665,40,1000,1000,,1
F,BOSSIER PARISH FIRE DISTRICT 7,1315905659,CM61-BEAD-LA-336-2014,718 W PALMETTO AVE,PLAIN DEALING,LA,71064,32.90623856,-93.71045685,40,1000,1000,,1
L,OUACHITA PARISH LIBRARY,1310716785,CM61-BEAD-LA-336-2014,305 KEYSTONE RD,MONROE,LA,71203,32.64731216430664,-92.06453705,40,1000,1000,,1
F,STERLINGTON POLICE DEPARTMENT,1310697288,CM61-BEAD-LA-336-2014,103 HIGH AVE,STERLINGTON,LA,71280,32.69439697265625,-92.07470703,40,1000,1000,,1
F,DUBACH POLICE DEPARTMENT,2000003278,CM61-BEAD-LA-336-2014,7833 ANNIE LEE ST,DUBACH,LA,71235,32.69653,-92.65539,40,1000,1000,,1
