type,entity_name,location_id,entity_number,cms_number,frn,project_id,address_primary,city,state,zip_code,latitude,longitude,classification,technology,upload_speed_anticipated,download_speed_anticipated,low_latency
F,HESSMER VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,4143 E MAIN ST,HESSMER,LA,71341,31.0526,-92.12155,0,50,1000,1000,1
F,COLUMBIA VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2239,430 BLANKS ST,COLUMBIA,LA,71418,32.10488,-92.07903,0,50,1000,1000,1
F,COUSHATTA TRIBAL POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,"3062 POWELL RD, PO BOX 818",ELTON,LA,70532,30.4808,-92.70597,0,50,1000,1000,1
F,JENNINGS FIRE DEPARTMENT SUBSTATION,,,,,CM61-BEAD-LA-2260,1010 S LAKE ARTHUR AVE,JENNINGS,LA,70546,30.21972,-92.66327,0,50,1000,1000,1
S,WEBSTER JUNIOR HIGH SCHOOL,,,,,CM61-BEAD-LA-2260,700 E UNION,MINDEN,LA,71055,32.61151,-93.27292,0,50,1000,1000,1
F,JENA POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,1850 N 2ND ST,JENA,LA,71342,31.68366,-92.13239,0,50,1000,1000,1
F,OAK RIDGE VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2331,209 N OAK BOULEVARD,OAK RIDGE,LA,71264,32.62473,-91.77328,0,50,1000,1000,1
F,WEBSTER PARISH FIRE PROTECTION DISTRICT 11 SPRINGHILL FIRE DISTRICT STATION 3,,,,,CM61-BEAD-LA-4047,1225 PERCY BURNS RD,SPRINGHILL,LA,71075,33.00536,-93.42709,0,50,1000,1000,1
F,SABINE PARISH WARDS 3 AND 4 FIRE PROTECTION DISTRICT 1 - MANY STATION 1,,,,,CM61-BEAD-LA-2260,STATE HIGHWAY 6,MANY,LA,71449,31.57431,-93.47177,0,50,1000,1000,1
S,SOUTHERN MAGNOLIA MONTESSORI SCHOOL,,,,,CM61-BEAD-LA-2247,72047 LIVE OAK ST,ABITA SPRINGS,LA,70420,30.47872,-90.03501,0,50,1000,1000,1
F,LAFOURCHE PARISH FIRE DISTRICT 3 CENTRAL FIRE STATION,,,,,CM61-BEAD-LA-2260,17462 W MAIN ST,GALLIANO,LA,70354,29.45073,-90.30498,0,50,1000,1000,1
L,PARISH OF CALDWELL,,,,,CM61-BEAD-LA-2239,211 JACKSON ST,COLUMBIA,LA,71418,32.10497,-92.07368,0,50,1000,1000,1
S,LOUISIANA STATE UNIVERSITY-ALEXANDRIA,,,,,CM61-BEAD-LA-2260,8100 HIGHWAY 71 S,ALEXANDRIA,LA,71302,31.1792,-92.418,0,50,1000,1000,1
S,DEQUINCY ELEMENTARY SCHOOL,,,,,CM61-BEAD-LA-2260,1605 W FOURTH ST,DEQUINCY,LA,70633,30.44286,-93.45612,0,50,1000,1000,1
S,NEW ORLEANS BAPTIST THEOLOGICAL SEMINARY,,,,,CM61-BEAD-LA-3975,3939 GENTILLY BLVD,NEW ORLEANS,LA,70126,30.00326,-90.04285,0,40,1000,1000,1
F,PRIDE VOLUNTEER FIRE DEPARTMENT STATION 12,,,,,CM61-BEAD-LA-2260,38260 GREENWELL SPRINGS RD,GREENWELL SPRINGS,LA,70739,30.69052,-90.88354,0,50,1000,1000,1
F,SAINT BERNARDS PARISH SHERIFFS DEPARTMENT,,,,,CM61-BEAD-LA-2260,9000 W SAINT BERNARD HIGHWAY,CHALMETTE,LA,70043,29.9393,-89.97235,0,50,1000,1000,1
S,RED RIVER ACADEMIC ACADEMY,,,,,CM61-BEAD-LA-3913,550 JIM CROW RD,COUSHATTA,LA,71019,32.01271,-93.32069,0,50,1000,1000,1
F,LAFOURCHE PARISH FIRE PROTECTION DISTRICT 1 - PROTECTOR FIRE COMPANY 2,,,,,CM61-BEAD-LA-2260,549 TETREAU ST,THIBODAUX,LA,70301,29.79384,-90.81333,0,50,1000,1000,1
F,BAYOU GOULA VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2250,56700 CORPORAL HERMAN BROWN JUNIOR ST,BAYOU GOULA,LA,70739,30.21017,-91.17083,0,50,1000,1000,1
F,SAINT JAMES VOLUNTEER FIRE DEPARTMENT WELCOME STATION,,,,,CM61-BEAD-LA-2260,8120 KING VIEW ST,SAINT JAMES,LA,70086,30.05772,-90.86825,0,50,1000,1000,1
S,N.S.U. ELEMENTARY LAB SCHOOL,,,,,CM61-BEAD-LA-2260,125 CENTRAL AVE,NATCHITOCHES,LA,71457,31.75044,-93.09339,0,50,1000,1000,1
F,GRAMERCY VOLUNTEER FIRE DEPARTMENT STATION 2,,,,,CM61-BEAD-LA-2260,400 E JEFFERSON HIGHWAY,GRAMERCY,LA,70052,30.04408,-90.68591,0,50,1000,1000,1
F,BOYCE VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,507 LONDONDERRY AVE,BOYCE,LA,71409,31.39014,-92.66905,0,50,1000,1000,1
F,PIERRE PART - BELLE RIVER VOLUNTEER FIRE DEPARTMENT STATION 3,,,,,CM61-BEAD-LA-2300,138 SHELL BEACH RD,PIERRE PART,LA,70339,29.91037,-91.19691,0,50,1000,1000,1
F,PECAN ISLAND FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2265,25600 STATE HIGHWAY 82 W,KAPLAN,LA,70548,29.64885,-92.40206,0,50,1000,1000,1
F,LORANGER VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2247,53096 STATE HIGHWAY 40,LORANGER,LA,70446,30.62212,-90.39786,0,50,1000,1000,1
S,LOUISIANA COLLEGE,,,,,CM61-BEAD-LA-2260,1140 COLLEGE DR,PINEVILLE,LA,71359,31.32542,-92.42675,0,50,1000,1000,1
S,AIRLINE HIGH SCHOOL,,,,,CM61-BEAD-LA-2260,2801 AIRLINE DR,BOSSIER CITY,LA,71111,32.55354,-93.7115,0,50,1000,1000,1
L,LASALLE PARISH LIBRARY,,,,,CM61-BEAD-LA-2260,1479 BLAKE ST,OLLA,LA,71465,31.89744,-92.24151,0,50,1000,1000,1
S,TENSAS ACADEMY,,,,11620937,CM61-BEAD-LA-4047,418 HIGHWAY 128,SAINT JOSEPH,LA,71366,31.91996,-91.23566,0,50,1000,1000,1
F,MANGHAM POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2331,306 MAIN ST,MANGHAM,LA,71259,32.30897,-91.77596,0,50,1000,1000,1
S,DOYLINE HIGH SCHOOL,,,,,CM61-BEAD-LA-3895,804 COLLEGE ST,DOYLINE,LA,71023,32.53589,-93.41383,0,71,1000,1000,1
S,HAYDEN R. LAWRENCE UPPER ELEMENTARY SCHOOL,,,,,CM61-BEAD-LA-2260,646 HIGHWAY 1207,DEVILLE,LA,71328,31.36668,-92.19243,0,50,1000,1000,1
F,RIDGECREST POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,116 FOSTER DR,FERRIDAY,LA,71334,31.60627,-91.52385,0,50,1000,1000,1
F,PALMETTO POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,224 E RAILRD AVE,PALMETTO,LA,71358,30.71711,-91.9043,0,50,1000,1000,1
F,SANDY CREEK VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,10119 STATE HIGHWAY 111,ANACOCO,LA,71403,31.19381,-93.48491,0,50,1000,1000,1
F,BERNICE VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2331,407 LOUISIANA AVE,BERNICE,LA,71222,32.82029,-92.65652,0,50,1000,1000,1
S,ST MARYS DOMINICAN HIGH SCHOOL,,,,,CM61-BEAD-LA-3975,7701 WALMSLEY AVE,NEW ORLEANS,LA,70125,29.95654,-90.11404,0,40,1000,1000,1
F,DELTA POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2331,200 1ST ST,DELTA,LA,71233,32.32657,-90.92542,0,50,1000,1000,1
S,SEVENTH WARD ELEMENTARY SCHOOL,,,,11794385,CM61-BEAD-LA-2247,12012 AUDUBON RD,ABBEVILLE,LA,70510,29.87774,-92.16091,0,50,1000,1000,1
F,RESERVE VOLUNTEER FIRE DEPARTMENT STATION 3,,,,,CM61-BEAD-LA-2260,1152 STATE HIGHWAY 44,RESERVE,LA,70084,30.05219,-90.54415,0,50,1000,1000,1
F,CONCORD VOLUNTEER FIRE DEPARTMENT CENTRAL STATION,,,,,CM61-BEAD-LA-2305,107 COSTELLO RD,OAK GROVE,LA,71263,32.95613,-91.42451,0,50,1000,1000,1
S,FOREST SCHOOL,,,,,CM61-BEAD-LA-2331,158 CLOVER ST,FOREST,LA,71242,32.79256,-91.41082,0,50,1000,1000,1
F,ENGLAND INDUSTRIAL AIRPARK FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,1329 BILLY MITCHELL BOULEVARD,ALEXANDRIA,LA,71303,31.32144,-92.54045,0,50,1000,1000,1
F,CALCASIEU CORRECTIONAL CENTER,,,,,CM61-BEAD-LA-2260,5410 E BRD ST,LAKE CHARLES,LA,70615,30.2487,-93.12778,0,50,1000,1000,1
F,BERNICE POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2331,424 E 4TH ST,BERNICE,LA,71222,32.8212,-92.65671,0,50,1000,1000,1
F,ACADIAN AMBULANCE SERVICE INCORPORATED - MAMOU STATION,,,,,CM61-BEAD-LA-2260,1509 7TH ST,MAMOU,LA,70554,30.64181,-92.41866,0,50,1000,1000,1
L,ALLEN PARISH LIBRARY,,,,,CM61-BEAD-LA-2260,320 S 6TH ST,OBERLIN,LA,70655,30.61556,-92.76612,0,50,1000,1000,1
F,JEFFERSON DAVIS PARISH FIRE PROTECTION DISTRICT 1,,,,,CM61-BEAD-LA-2260,14132 STATE HIGHWAY 395,ROANOKE,LA,70581,30.23489,-92.7467,0,50,1000,1000,1
S,JOHN JAY BEAUTY COLLEGE,,,,,CM61-BEAD-LA-2247,2844 TENNESSEE AVE,KENNER,LA,70062,30.00747,-90.23035,0,50,1000,1000,1
S,WINNFIELD HIGH SCHOOL,,,,,CM61-BEAD-LA-2260,631 THOMAS MILL RD,WINNFIELD,LA,71483,31.94685,-92.64847,0,50,1000,1000,1
S,LACASSINE HIGH SCHOOL,,,,,CM61-BEAD-LA-2260,409 ALGONIA AVE,LACASSINE,LA,70650,30.23571,-92.92095,0,50,1000,1000,1
S,J.F. GAUTHIER SCHOOL,,,,,CM61-BEAD-LA-2247,1200 E LA HIGHWAY 46,SAINT BERNARD,LA,70085,29.87255,-89.86104,0,50,1000,1000,1
H,NEW ORLEANS VETERANS RESOURCE CENTER,,,,,CM61-BEAD-LA-2247,2200 VETERANS MEMORIAL BOULEVARD,KENNER,LA,70062,30.00706,-90.23787,0,50,1000,1000,1
F,BOSSIER CITY FIRE DEPARTMENT STATION 5,,,,,CM61-BEAD-LA-2260,915 MEADOWVIEW DR,BOSSIER CITY,LA,71111,32.53402,-93.67281,0,50,1000,1000,1
F,OPELOUSAS FIRE DEPARTMENT STATION 1,,,,,CM61-BEAD-LA-2260,1343 W VINE ST,OPELOUSAS,LA,70570,30.53366,-92.09785,0,50,1000,1000,1
S,Baker Adult Learning Center,,,,,CM61-BEAD-LA-2260,2034 Main St Baker,Baker,LA,70714,30.59521,-91.16501,0,50,1000,1000,1
F,LITTLE CHAPEL VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,13007 STATE HIGHWAY 3093,KAPLAN,LA,70548,29.96487,-92.41165,0,50,1000,1000,1
F,NATCHITOCHES FIRE PROTECTION DISTRICT 8,,,,,CM61-BEAD-LA-2260,472 STATE HIGHWAY 153,ASHLAND,LA,71002,32.14428,-93.10032,0,50,1000,1000,1
H,WESTEND HOSPITAL,1063527424,,,,CM61-BEAD-LA-2260,1530 HIGHWAY 90 W,JENNINGS,LA,70546,30.232736587524414,-92.67768859863281,0,50,1000,1000,1
S,OUR LADY OF LOURDES ELEMENTARY SCHOOL,,,,,CM61-BEAD-LA-3894,345 WCHESTER PL,SLIDELL,LA,70458,30.24957,-89.78865,0,71,1000,1000,1
F,LIVINGSTON PARISH FIRE DEPARTMENT DISTRICT 10 STATION 1,,,,,CM61-BEAD-LA-2260,30223 STATE HIGHWAY 441,HOLDEN,LA,70744,30.5046,-90.66983,0,50,1000,1000,1
F,TOPSY VOLUNTEER FIRE DEPARTMENT WARD 9 DISTRICT 7,,,,,CM61-BEAD-LA-2260,135 N LANE,RAGLEY,LA,70657,30.41457,-93.1217,0,50,1000,1000,1
S,UNIVERSITY MONTESSORI SCHOOL,1353999348,,,,CM61-BEAD-LA-2247,7508 BURTHE ST,NEW ORLEANS,LA,70118,29.941442489624023,-90.1276626586914,0,50,1000,1000,1
S,LINCOLN PREPARATORY SCHOOL,,,,,CM61-BEAD-LA-2260,407 CENTRAL AVE,GRAMBLING,LA,71245,32.52398,-92.70994,0,50,1000,1000,1
F,ACADIAN AMBULANCE SERVICE INCORPORATED - RACELAND STATION,,,,,CM61-BEAD-LA-2260,106 CYPRESS ST,RACELAND,LA,70394,29.70161,-90.56567,0,50,1000,1000,1
F,PAULINA - GRAND POINT - BELMONT FIRE DEPARTMENT GRAND POINT STATION 10,,,,,CM61-BEAD-LA-2260,32122 STATE HIGHWAY 642 N,PAULINA,LA,70763,30.0433,-90.74597,0,50,1000,1000,1
S,CADDO PARISH MAGNET HIGH SCHOOL,1355424597,,,11870771,CM61-BEAD-LA-2260,1601 VIKING DR,SHREVEPORT,LA,71101,32.49705123901367,-93.71927642822266,0,50,1000,1000,1
S,EAST OUACHITA MIDDLE SCHOOL,,,,,CM61-BEAD-LA-4047,859 SWARTZ FAIRBANKS,MONROE,LA,71203,32.58703,-91.99264,0,50,1000,1000,1
S,BELLE ROSE PRIMARY SCHOOL,,,,,CM61-BEAD-LA-2247,7100 HIGHWAY 308,BELLE ROSE,LA,70341,30.04941,-91.04031,0,50,1000,1000,1
F,MERMENTAU POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,104 7TH ST,MERMENTAU,LA,70556,30.18726,-92.58265,0,50,1000,1000,1
S,FRANKLIN PARISH HIGH SCHOOL,,,,11799012,CM61-BEAD-LA-2331,1600 GLOVER DR,WINNSBORO,LA,71295,32.15144,-91.72746,0,50,1000,1000,1
F,LAFOURCHE FIRE DISTRICT 3 EAST LAROSE STATION,,,,,CM61-BEAD-LA-2260,12595 E MAIN,LAROSE,LA,70373,29.57194,-90.3824,0,50,1000,1000,1
L,WEST REGIONAL LIBRARY,,,,,CM61-BEAD-LA-2247,105 LAKEWOOD DR,LULING,LA,70070,29.90829,-90.34669,0,50,1000,1000,1
F,VIDALIA POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,602 JOHN DALE DR,VIDALIA,LA,71373,31.56194,-91.42891,0,50,1000,1000,1
F,SULPHUR FIRE DEPARTMENT STATION 1,,,,,CM61-BEAD-LA-2260,602 N HUNTINGTON ST,SULPHUR,LA,70663,30.24368,-93.37715,0,50,1000,1000,1
F,PINEVILLE FIRE DEPARTMENT STATION 2,,,,,CM61-BEAD-LA-2260,325 E ST,PINEVILLE,LA,71360,31.36939,-92.40503,0,50,1000,1000,1
F,SAINT TAMMANY PARISH FIRE PROTECTION DISTRICT 9,,,,,CM61-BEAD-LA-2260,29439 STATE HIGHWAY 40,BUSH,LA,70431,30.61513,-89.92191,0,50,1000,1000,1
S,ST FRANCIS XAVIER SCHOOL,,,,,CM61-BEAD-LA-3975,215 BETZ PL,METAIRIE,LA,70005,29.98327,-90.12939,0,40,1000,1000,1
S,CRESWELL MIDDLE SCHOOL,,,,,CM61-BEAD-LA-2260,1210 E LEO ST,OPELOUSAS,LA,70570,30.52291,-92.07155,0,50,1000,1000,1
F,SAINT MARY PARISH VOLUNTEER FIRE DEPARTMENT GLENCOE COMMUNITY SUBSTATION 3,,,,,CM61-BEAD-LA-2264,4345 STATE HIGHWAY 83,FRANKLIN,LA,70538,29.81478,-91.66801,0,50,1000,1000,1
F,FOREST HILL VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,4300 STATE HIGHWAY 112,FOREST HILL,LA,71430,31.0417,-92.5306,0,50,1000,1000,1
F,BIENVILLE PARISH FIRE PROTECTION DISTRICT WARD 7 STATION 7 - MOUNT OLIVE,,,,,CM61-BEAD-LA-2331,STATE HIGHWAY 155,MOUNT OLIVE,LA,71268,32.34382,-92.72761,0,50,1000,1000,1
S,PICKERING HIGH SCHOOL,,,,14661540,CM61-BEAD-LA-2260,180 LEBLEU RD,LEESVILLE,LA,71446,31.03951,-93.27209,0,50,1000,1000,1
L,DR JOHN PUGH MEMORIAL LIBRARY WEBSTER PARISH,,,,,CM61-BEAD-LA-4047,MAIN ST,COTTON VALLEY,LA,71018,32.82,-93.41741,0,50,1000,1000,1
F,POWHATAN POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,291 N RAILRD ST,POWHATAN,LA,71066,31.87378,-93.20059,0,50,1000,1000,1
F,ACADIAN AMBULANCE SERVICE INCORPORATED - IOWA STATION,,,,,CM61-BEAD-LA-2260,106 UNITED STATES HIGHWAY 90,IOWA,LA,70647,30.2313,-93.0131,0,50,1000,1000,1
S,EARLY LEARNING CENTER,,,,,CM61-BEAD-LA-2260,1004 S MARTIN ST,PARKS,LA,70582,30.21235,-91.83212,0,50,1000,1000,1
S,OMEGA INSTITUTE OF COSMETOLOGY,,,,,CM61-BEAD-LA-2260,229 B S HOLLYWOOD RD,HOUMA,LA,70360,29.60273,-90.75236,0,50,1000,1000,1
F,CITY OF ALEXANDRIA FIRE DEPARTMENT STATION 1,,,,,CM61-BEAD-LA-2260,518 LEE ST,ALEXANDRIA,LA,71301,31.30878,-92.44469,0,50,1000,1000,1
F,BIENVILLE PARISH FIRE PROTECTION DISTRICT WARDS 4 AND 5 STATION 3,,,,,CM61-BEAD-LA-2221,4221 E FRONT ST,JAMESTOWN,LA,71045,32.34253,-93.21046,0,50,1000,1000,1
S,JAMES A. HEROD ELEMENTARY SCHOOL,,,,,CM61-BEAD-LA-4225,120 ODEA ST,ABBEVILLE,LA,70510,29.97256,-92.10959,0,50,1000,1000,1
S,TCHEFUNCTE MIDDLE SCHOOL,,,,11791043,CM61-BEAD-LA-2260,1530 W CAUSEWAY APPROACH,MANDEVILLE,LA,70471,30.39025,-90.1009,0,50,1000,1000,1
F,GREENWOOD POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2247,9299 GREENWOOD RD,GREENWOOD,LA,71033,32.4432,-93.97182,0,50,1000,1000,1
F,SOUTH TOLEDO FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,58211 STATE HIGHWAY 191,ANACOCO,LA,71403,31.20329,-93.5743,0,50,1000,1000,1
F,PALMETTO VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,224 E RAILRD AVE,PALMETTO,LA,71358,30.71711,-91.9043,0,50,1000,1000,1
H,Ochsner Health Center - West Bank,,,19-0036,,CM61-BEAD-LA-2247,"120 Ochsner Blvd., Suite 380",Gretna,LA,70056,29.88407,-90.02694,0,50,1000,1000,1
F,DERIDDER FIRE DEPARTMENT - EAST SIDE STATION,,,,,CM61-BEAD-LA-2247,202 MARTIN LUTHER KING DR,DERIDDER,LA,70634,30.84406,-93.27262,0,50,1000,1000,1
F,MIRE VOLUNTEER FIRE DEPARTMENT DISTRICT 7,,,,,CM61-BEAD-LA-2260,5248 MIRE HIGHWAY,RAYNE,LA,70578,30.29493,-92.19307,0,50,1000,1000,1
S,CELEBRITY STYLIST BEAUTY SCHOOL,,,,,CM61-BEAD-LA-2260,3138 LOUISVILLE AVE,MONROE,LA,71201,32.52244,-92.08508,0,50,1000,1000,1
F,LOCKPORT VOLUNTEER FIRE DEPARTMENT 308 STATION,,,,,CM61-BEAD-LA-2260,8028 STATE HIGHWAY 308,LOCKPORT,LA,70374,29.62352,-90.50014,0,50,1000,1000,1
S,CLEARWOOD JUNIOR HIGH SCHOOL,,,,11789435,CM61-BEAD-LA-3894,130 CLEARWOOD DR,SLIDELL,LA,70458,30.31144,-89.75374,0,71,1000,1000,1
S,CALHOUN ELEMENTARY SCHOOL,,,,,CM61-BEAD-LA-4225,237 CALHOUN RD,CALHOUN,LA,71225,32.51108,-92.36405,0,50,1000,1000,1
F,LITTLE CAILLOU VOLUNTEER FIRE DEPARTMENT STATION 2 ADMINISTRATION,,,,,CM61-BEAD-LA-2260,5016 LITTLE CAILLOU RD,CHAUVIN,LA,70344,29.48161,-90.58134,0,50,1000,1000,1
F,CHITIMACHA POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,213 COUSHATTA DR,BALDWIN,LA,70514,29.88375,-91.52862,0,50,1000,1000,1
F,NEW ROADS VOLUNTEER FIRE DEPARTMENT - SUBSTATION,,,,,CM61-BEAD-LA-2260,STATE HIGHWAY 981,VENTRESS,LA,70783,30.72474,-91.36157,0,50,1000,1000,1
F,GARYVILLE VOLUNTEER FIRE DEPARTMENT STATION 72,,,,,CM61-BEAD-LA-2260,3772 STATE HIGHWAY 44,MOUNT AIRY,LA,70076,30.04746,-90.63392,0,50,1000,1000,1
F,GILBERT POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2331,7564 GILBERT ST,GILBERT,LA,71336,32.04546,-91.65643,0,50,1000,1000,1
S,WHISPERING FOREST ELEMENTARY SCHOOL,,,,,CM61-BEAD-LA-3894,38374 SPIEHLER RD,SLIDELL,LA,70458,30.31931,-89.76189,0,71,1000,1000,1
S,ST CATHERINE OF SIENA,,,,,CM61-BEAD-LA-3975,400 CODIFER BLVD,METAIRIE,LA,70005,29.98787,-90.14235,0,40,1000,1000,1
F,JEFFERSON DAVIS PARISH FIRE PROTECTION DISTRICT 6,,,,,CM61-BEAD-LA-2260,1306 MAIN ST,ELTON,LA,70532,30.48125,-92.689,0,50,1000,1000,1
S,PORT BARRE MIDDLE SCHOOL,,,,,CM61-BEAD-LA-2300,846 SAIZAN ST,PORT BARRE,LA,70577,30.5607,-91.95425,0,50,1000,1000,1
F,SABINE PARISH WARDS 3 AND 4 FIRE PROTECTION DISTRICT 1 - FISHER STATION,,,,,CM61-BEAD-LA-2260,MAIN ST,FISHER,LA,71426,31.49386,-93.46417,0,50,1000,1000,1
L,SAINT TAMMANY PARISH LIBRARY,,,,,CM61-BEAD-LA-2260,310 W 21ST AVE,COVINGTON,LA,70433,30.4769,-90.10291,0,50,1000,1000,1
F,HEBERT VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,2895 STATE HIGHWAY 133,COLUMBIA,LA,71418,32.2002,-92.00882,0,50,1000,1000,1
F,TULLOS VOLUNTEER FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,10187 S MAIN ST,TULLOS,LA,71479,31.81826,-92.33056,0,50,1000,1000,1
H,NORTH CADDO MEDICAL CENTER,,,,,CM61-BEAD-LA-3895,815 S PINE ST,VIVIAN,LA,71082,32.86289,-93.9879,0,71,1000,1000,1
S,ERATH MIDDLE SCHOOL,,,,,CM61-BEAD-LA-4225,800 S BRDWAY,ERATH,LA,70533,29.95267,-92.03571,0,50,1000,1000,1
F,CLAIBORNE PARISH FIRE DISTRICT 6 - BAILEYTOWN STATION,,,,,CM61-BEAD-LA-2331,1110 CYPRESS BOTTOM RD,HAYNESVILLE,LA,71038,32.97196,-92.91672,0,50,1000,1000,1
F,CONCORD VOLUNTEER FIRE DEPARTMENT MACEDONIA STATION,,,,,CM61-BEAD-LA-2305,16505 STATE HIGHWAY 585,OAK GROVE,LA,71263,32.98755,-91.36,0,50,1000,1000,1
H,GRANT PARISH HEALTH UNIT,,,,,CM61-BEAD-LA-2260,340A WEBB SMITH DR,COLFAX,LA,71417,31.52127,-92.68887,0,50,1000,1000,1
F,ACADIAN AMBULANCE SERVICE INCORPORATED - GUEYDAN STATION,,,,,CM61-BEAD-LA-2260,805 8TH ST,GUEYDAN,LA,70542,30.02875,-92.50568,0,50,1000,1000,1
F,UNION CONVENT VOLUNTEER FIRE DEPARTMENT STATION 1,,,,,CM61-BEAD-LA-2260,9793 STATE HIGHWAY 44,CONVENT,LA,70723,30.06953,-90.88944,0,50,1000,1000,1
S,EVANGEL CHRISTIAN ACADEMY,1355433534,,,,CM61-BEAD-LA-2260,5720 BUNCOMBE RD,SHREVEPORT,LA,71129,32.44084548950195,-93.8481216430664,0,50,1000,1000,1
F,WINN PARISH SHERIFFS DEPARTMENT / WINN PARISH JAIL,,,,,CM61-BEAD-LA-2260,119 W MAIN ST,WINNFIELD,LA,71483,31.92681,-92.6388,0,50,1000,1000,1
F,OLLA VOLUNTEER FIRE DEPARTMENT STATION 1,,,,,CM61-BEAD-LA-2260,3435 US HIGHWAY 165,OLLA,LA,71465,31.90762,-92.22247,0,50,1000,1000,1
S,EBARB SCHOOL,,,,,CM61-BEAD-LA-2260,5340 HIGHWAY 482,NOBLE,LA,71462,31.62918,-93.7546,0,50,1000,1000,1
F,WEBSTER PARISH FIRE DISTRICT 10 - MINDEN FIRE DEPARTMENT STATION 3,,,,,CM61-BEAD-LA-2260,501 GERMANTOWN RD,MINDEN,LA,71055,32.63203,-93.27221,0,50,1000,1000,1
F,COUSHATTA TRIBAL FIRE DEPARTMENT,,,,,CM61-BEAD-LA-2260,3602 POWELL RD,ELTON,LA,70532,30.52422,-92.7146,0,50,1000,1000,1
S,LORANGER MIDDLE SCHOOL,,,,,CM61-BEAD-LA-2247,54123 ALLMAN ST,LORANGER,LA,70446,30.63829,-90.4005,0,50,1000,1000,1
F,FLATWOODS VOLUNTEER FIRE DEPARTMENT STATION 2,,,,,CM61-BEAD-LA-2260,255 MORA RD,MORA,LA,71455,31.34756,-92.91759,0,50,1000,1000,1
F,NORTH HODGE POLICE DEPARTMENT,,,,,CM61-BEAD-LA-2260,5204 QUITMAN HIGHWAY,NORTH HODGE,LA,71247,32.2803,-92.71891,0,50,1000,1000,1
P,MANSFIELD HOUSING AUTHORITY,,,,,CM61-BEAD-LA-2260,604 Line St,Mansfield,LA,71052,32.03013,-93.70375,0,50,1000,1000,1
S,HAMMOND WESTSIDE MONTESSORI,,,,,CM61-BEAD-LA-2247,2600 WPARK AVE,HAMMOND,LA,70403,30.4825,-90.48561,0,50,1000,1000,1
F,SOUTH BOSSIER VOLUNTEER FIRE DEPARTMENT INCORPORATED STATION 5,,,,,CM61-BEAD-LA-3895,8698 UNITED STATES HIGHWAY 71,ELM GROVE,LA,71051,32.35138,-93.55588,0,71,1000,1000,1
L,TERREBONNE PARISH LIBRARY SYSTEM,,,,,CM61-BEAD-LA-2260,6363 BAYOU BLACK DR,GIBSON,LA,70356,29.6865,-90.9927,0,50,1000,1000,1
F,RYNELLA VOLUNTEER FIRE DEPARTMENT STATION 900,,,,,CM61-BEAD-LA-2260,5105 AVERY ISLAND RD,NEW IBERIA,LA,70560,29.95114,-91.87363,0,50,1000,1000,1
S,J.I. BARRON SR. ELEMENTARY SCHOOL,,,,,CM61-BEAD-LA-2260,43655 TRINITY CHURCH RD,PINEVILLE,LA,71360,31.33806,-92.37963,0,50,1000,1000,1
S,ST JOAN OF ARC CATHOLIC SCHOOL,,,,,CM61-BEAD-LA-2260,412 FIR ST,LA PLACE,LA,70068,30.06812,-90.49919,0,50,1000,1000,1
F,START - GIRARD FIRE PROTECTION DISTRICT,,,,,CM61-BEAD-LA-2331,26 OWL LOOP RD,START,LA,71279,32.48761,-91.85421,0,50,1000,1000,1
F,SOUTH BOSSIER VOLUNTEER FIRE DEPARTMENT INCORPORATED STATION 3,,,,,CM61-BEAD-LA-2260,1094 CC SANDAGE RD,ELM GROVE,LA,71051,32.39953,-93.43605,0,50,1000,1000,1
